batch_id,entity,source_record_id,business_key,defect_code,severity,expected_action,description
B001,customer,DEF_CUSTOMER_DUP_B001_001,C0026861,CUST_DUPLICATE_BUSINESS_KEY,HARD,DEDUPLICATE,Duplicate customer_id with a distinct physical source record.
B001,customer,DEF_CUSTOMER_DUP_B001_002,C0001373,CUST_DUPLICATE_BUSINESS_KEY,HARD,DEDUPLICATE,Duplicate customer_id with a distinct physical source record.
B001,customer,DEF_CUSTOMER_DUP_B001_003,C0022970,CUST_DUPLICATE_BUSINESS_KEY,HARD,DEDUPLICATE,Duplicate customer_id with a distinct physical source record.
B001,customer,DEF_CUSTOMER_DUP_B001_004,C0049578,CUST_DUPLICATE_BUSINESS_KEY,HARD,DEDUPLICATE,Duplicate customer_id with a distinct physical source record.
B001,customer,DEF_CUSTOMER_DUP_B001_005,C0035498,CUST_DUPLICATE_BUSINESS_KEY,HARD,DEDUPLICATE,Duplicate customer_id with a distinct physical source record.
B001,customer,DEF_CUSTOMER_NULLKEY_B001_001,nan,CUST_NULL_CUSTOMER_ID,HARD,QUARANTINE,Critical business key customer_id is NULL.
B001,customer,DEF_CUSTOMER_NULLKEY_B001_002,nan,CUST_NULL_CUSTOMER_ID,HARD,QUARANTINE,Critical business key customer_id is NULL.
B001,customer,DEF_CUSTOMER_NULLKEY_B001_003,nan,CUST_NULL_CUSTOMER_ID,HARD,QUARANTINE,Critical business key customer_id is NULL.
B001,customer,SRC_CUSTOMER_B001_000011761,C0011761,CUST_INVALID_EMAIL,SOFT,FLAG_AND_LOAD,Email does not match the accepted email regex.
B001,customer,SRC_CUSTOMER_B001_000007092,C0007092,CUST_INVALID_EMAIL,SOFT,FLAG_AND_LOAD,Email does not match the accepted email regex.
B001,customer,SRC_CUSTOMER_B001_000010472,C0010472,CUST_INVALID_EMAIL,SOFT,FLAG_AND_LOAD,Email does not match the accepted email regex.
B001,customer,SRC_CUSTOMER_B001_000004728,C0004728,CUST_INVALID_EMAIL,SOFT,FLAG_AND_LOAD,Email does not match the accepted email regex.
B001,customer,SRC_CUSTOMER_B001_000021019,C0021019,CUST_INVALID_EMAIL,SOFT,FLAG_AND_LOAD,Email does not match the accepted email regex.
B001,customer,SRC_CUSTOMER_B001_000040638,C0040638,CUST_INVALID_EMAIL,SOFT,FLAG_AND_LOAD,Email does not match the accepted email regex.
B001,customer,SRC_CUSTOMER_B001_000025748,C0025748,CUST_INVALID_EMAIL,SOFT,FLAG_AND_LOAD,Email does not match the accepted email regex.
B001,customer,SRC_CUSTOMER_B001_000002414,C0002414,CUST_INVALID_EMAIL,SOFT,FLAG_AND_LOAD,Email does not match the accepted email regex.
B001,customer,SRC_CUSTOMER_B001_000042618,C0042618,CUST_PHONE_NON_STANDARD,SOFT,CLEANSE_AND_LOAD,Phone uses a non-canonical but recoverable format.
B001,customer,SRC_CUSTOMER_B001_000013867,C0013867,CUST_PHONE_NON_STANDARD,SOFT,CLEANSE_AND_LOAD,Phone uses a non-canonical but recoverable format.
B001,customer,SRC_CUSTOMER_B001_000017647,C0017647,CUST_PHONE_NON_STANDARD,SOFT,CLEANSE_AND_LOAD,Phone uses a non-canonical but recoverable format.
B001,customer,SRC_CUSTOMER_B001_000041624,C0041624,CUST_PHONE_NON_STANDARD,SOFT,CLEANSE_AND_LOAD,Phone uses a non-canonical but recoverable format.
B001,customer,SRC_CUSTOMER_B001_000024550,C0024550,CUST_PHONE_NON_STANDARD,SOFT,CLEANSE_AND_LOAD,Phone uses a non-canonical but recoverable format.
B001,customer,SRC_CUSTOMER_B001_000027231,C0027231,CUST_PHONE_NON_STANDARD,SOFT,CLEANSE_AND_LOAD,Phone uses a non-canonical but recoverable format.
B001,customer,SRC_CUSTOMER_B001_000024038,C0024038,CUST_PHONE_NON_STANDARD,SOFT,CLEANSE_AND_LOAD,Phone uses a non-canonical but recoverable format.
B001,customer,SRC_CUSTOMER_B001_000038545,C0038545,CUST_PHONE_NON_STANDARD,SOFT,CLEANSE_AND_LOAD,Phone uses a non-canonical but recoverable format.
B001,customer,SRC_CUSTOMER_B001_000045565,C0045565,CUST_PHONE_NON_STANDARD,SOFT,CLEANSE_AND_LOAD,Phone uses a non-canonical but recoverable format.
B001,customer,SRC_CUSTOMER_B001_000017923,C0017923,CUST_PHONE_NON_STANDARD,SOFT,CLEANSE_AND_LOAD,Phone uses a non-canonical but recoverable format.
B001,customer,SRC_CUSTOMER_B001_000021975,C0021975,CUST_PHONE_NON_STANDARD,SOFT,CLEANSE_AND_LOAD,Phone uses a non-canonical but recoverable format.
B001,customer,SRC_CUSTOMER_B001_000035061,C0035061,CUST_PHONE_NON_STANDARD,SOFT,CLEANSE_AND_LOAD,Phone uses a non-canonical but recoverable format.
B001,customer,SRC_CUSTOMER_B001_000040032,C0040032,CUST_DATE_FORMAT_VARIANT,SOFT,PARSE_AND_LOAD,Date of birth uses a conflicting but supported source format.
B001,customer,SRC_CUSTOMER_B001_000021574,C0021574,CUST_DATE_FORMAT_VARIANT,SOFT,PARSE_AND_LOAD,Date of birth uses a conflicting but supported source format.
B001,customer,SRC_CUSTOMER_B001_000005612,C0005612,CUST_DATE_FORMAT_VARIANT,SOFT,PARSE_AND_LOAD,Date of birth uses a conflicting but supported source format.
B001,customer,SRC_CUSTOMER_B001_000034848,C0034848,CUST_DATE_FORMAT_VARIANT,SOFT,PARSE_AND_LOAD,Date of birth uses a conflicting but supported source format.
B001,customer,SRC_CUSTOMER_B001_000035720,C0035720,CUST_DATE_FORMAT_VARIANT,SOFT,PARSE_AND_LOAD,Date of birth uses a conflicting but supported source format.
B001,customer,SRC_CUSTOMER_B001_000007145,C0007145,CUST_DATE_FORMAT_VARIANT,SOFT,PARSE_AND_LOAD,Date of birth uses a conflicting but supported source format.
B001,customer,SRC_CUSTOMER_B001_000017000,C0017000,CUST_BOOLEAN_VARIANT,SOFT,STANDARDIZE_AND_LOAD,Boolean flag uses an alternate source representation.
B001,customer,SRC_CUSTOMER_B001_000021153,C0021153,CUST_BOOLEAN_VARIANT,SOFT,STANDARDIZE_AND_LOAD,Boolean flag uses an alternate source representation.
B001,customer,SRC_CUSTOMER_B001_000028955,C0028955,CUST_BOOLEAN_VARIANT,SOFT,STANDARDIZE_AND_LOAD,Boolean flag uses an alternate source representation.
B001,customer,SRC_CUSTOMER_B001_000010546,C0010546,CUST_BOOLEAN_VARIANT,SOFT,STANDARDIZE_AND_LOAD,Boolean flag uses an alternate source representation.
B001,customer,SRC_CUSTOMER_B001_000040085,C0040085,CUST_BOOLEAN_VARIANT,SOFT,STANDARDIZE_AND_LOAD,Boolean flag uses an alternate source representation.
B001,customer,SRC_CUSTOMER_B001_000011802,C0011802,CUST_BOOLEAN_VARIANT,SOFT,STANDARDIZE_AND_LOAD,Boolean flag uses an alternate source representation.
B001,customer,SRC_CUSTOMER_B001_000036799,C0036799,CUST_BOOLEAN_VARIANT,SOFT,STANDARDIZE_AND_LOAD,Boolean flag uses an alternate source representation.
B001,customer,SRC_CUSTOMER_B001_000000729,C0000729,CUST_BOOLEAN_VARIANT,SOFT,STANDARDIZE_AND_LOAD,Boolean flag uses an alternate source representation.
B001,address,SRC_ADDRESS_B001_000043609,A00043609,ADDR_COUNTRY_NON_STANDARD,SOFT,STANDARDIZE_AND_LOAD,Country value requires trim and ISO mapping to GB.
B001,address,SRC_ADDRESS_B001_000004891,A00004891,ADDR_COUNTRY_NON_STANDARD,SOFT,STANDARDIZE_AND_LOAD,Country value requires trim and ISO mapping to GB.
B001,address,SRC_ADDRESS_B001_000042274,A00042274,ADDR_COUNTRY_NON_STANDARD,SOFT,STANDARDIZE_AND_LOAD,Country value requires trim and ISO mapping to GB.
B001,address,SRC_ADDRESS_B001_000001940,A00001940,ADDR_COUNTRY_NON_STANDARD,SOFT,STANDARDIZE_AND_LOAD,Country value requires trim and ISO mapping to GB.
B001,address,SRC_ADDRESS_B001_000061157,A00061157,ADDR_COUNTRY_NON_STANDARD,SOFT,STANDARDIZE_AND_LOAD,Country value requires trim and ISO mapping to GB.
B001,address,SRC_ADDRESS_B001_000017169,A00017169,ADDR_COUNTRY_NON_STANDARD,SOFT,STANDARDIZE_AND_LOAD,Country value requires trim and ISO mapping to GB.
B001,address,SRC_ADDRESS_B001_000021204,A00021204,ADDR_COUNTRY_NON_STANDARD,SOFT,STANDARDIZE_AND_LOAD,Country value requires trim and ISO mapping to GB.
B001,address,SRC_ADDRESS_B001_000059064,A00059064,ADDR_COUNTRY_NON_STANDARD,SOFT,STANDARDIZE_AND_LOAD,Country value requires trim and ISO mapping to GB.
B001,address,SRC_ADDRESS_B001_000035053,A00035053,ADDR_COUNTRY_NON_STANDARD,SOFT,STANDARDIZE_AND_LOAD,Country value requires trim and ISO mapping to GB.
B001,address,SRC_ADDRESS_B001_000046244,A00046244,ADDR_COUNTRY_NON_STANDARD,SOFT,STANDARDIZE_AND_LOAD,Country value requires trim and ISO mapping to GB.
B001,address,DEF_ADDRESS_ORPHAN_B001_001,A_BAD_B001_001,ADDR_ORPHAN_CUSTOMER,HARD,QUARANTINE,Address references a customer_id that does not exist.
B001,product,DEF_PRODUCT_PRICE_B001_001,P_BAD_B001_001,PROD_NEGATIVE_PRICE,HARD,QUARANTINE,Product price is negative.
B001,product,DEF_PRODUCT_PRICE_B001_002,P_BAD_B001_002,PROD_INVALID_PRICE_TYPE,HARD,QUARANTINE,Product price cannot be cast to a numeric value.
B001,product,SRC_PRODUCT_B001_000000359,P000359,PROD_BOOLEAN_VARIANT,SOFT,STANDARDIZE_AND_LOAD,Product active flag uses a non-canonical Boolean representation.
B001,product,SRC_PRODUCT_B001_000000055,P000055,PROD_BOOLEAN_VARIANT,SOFT,STANDARDIZE_AND_LOAD,Product active flag uses a non-canonical Boolean representation.
B001,product,SRC_PRODUCT_B001_000000426,P000426,PROD_BOOLEAN_VARIANT,SOFT,STANDARDIZE_AND_LOAD,Product active flag uses a non-canonical Boolean representation.
B001,product,SRC_PRODUCT_B001_000000129,P000129,PROD_BOOLEAN_VARIANT,SOFT,STANDARDIZE_AND_LOAD,Product active flag uses a non-canonical Boolean representation.
B001,product,SRC_PRODUCT_B001_000000260,P000260,PROD_BOOLEAN_VARIANT,SOFT,STANDARDIZE_AND_LOAD,Product active flag uses a non-canonical Boolean representation.
B001,product,SRC_PRODUCT_B001_000000128,P000128,PROD_BOOLEAN_VARIANT,SOFT,STANDARDIZE_AND_LOAD,Product active flag uses a non-canonical Boolean representation.
B001,product,SRC_PRODUCT_B001_000000184,P000184,PROD_BOOLEAN_VARIANT,SOFT,STANDARDIZE_AND_LOAD,Product active flag uses a non-canonical Boolean representation.
B001,product,SRC_PRODUCT_B001_000000368,P000368,PROD_BOOLEAN_VARIANT,SOFT,STANDARDIZE_AND_LOAD,Product active flag uses a non-canonical Boolean representation.
